TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20180605182106,59,4,40,1,0,11,-1,0,0,0,0
20180605182108,75,2,33,-1,0,4,-1,0,0,0,-1
20180605182118,56,3,33,-1,0,3,-1,0,0,0,-1
20180605182119,44,1,49,-1,0,2,-1,0,0,0,-1
20180605182158,85,2,44,-1,0,2,-1,60,0,0,-1
20180605182158,71,1,43,-1,0,3,-1,0,0,0,-1
20180605182188,65,2,33,-1,0,5,-1,0,0,0,-1
20180605182199,85,4,47,10,0,6,-1,60,0,0,0
20180605182204,80,2,44,-1,0,2,-1,0,0,0,-1
20180605182230,80,1,34,-1,0,2,-1,0,0,0,-1
20180605182243,80,4,33,6,0,5,-1,60,0,0,0
20180605182245,70,2,43,-1,0,3,-1,0,0,0,-1
20180605182245,70,2,43,-1,0,4,-1,0,0,0,-1
20180605182247,85,3,47,-1,0,2,-1,60,0,0,-1
20180605182252,85,4,33,2,0,3,-1,60,0,0,0
20180605182277,85,4,43,3,0,3,-1,60,0,0,0
20180605182277,85,4,43,2,0,4,-1,60,0,0,0
20180605182278,85,4,43,3,0,3,-1,60,0,0,0
20180605182300,85,2,34,-1,0,5,-1,60,0,0,-1
20180605182328,76,4,47,2,0,2,-1,0,0,0,0
20180605182360,70,4,43,1,0,2,-1,0,0,0,0
20180605182360,67,1,43,-1,0,3,-1,0,0,0,-1
20180605182360,59,2,43,-1,0,4,-1,0,0,0,-1
20180605182366,85,4,43,5,0,2,-1,60,0,0,0
20180605182366,85,4,56,5,0,3,-1,60,0,0,0
20180605182366,85,4,43,5,0,4,-1,60,0,0,0
20180605182366,80,4,43,5,0,5,-1,60,0,0,0
20180605182450,70,4,28,2,1,2,2,0,0,0,0
20180605182455,85,4,34,3,0,3,-1,60,0,0,0
20180605182476,85,4,33,8,0,2,-1,60,0,0,0
20180605182479,85,3,26,-1,1,2,2,0,0,0,-1
20180605182479,74,3,26,-1,1,3,3,0,0,0,-1
20180605182481,85,4,39,4,0,3,-1,60,0,0,0
20180605182481,85,4,40,4,0,4,-1,60,0,0,0
20180605182510,68,3,20,-1,1,2,2,0,0,0,-1
20180606180520,69,4,49,2,0,2,-1,0,0,0,0
20180606180635,85,4,56,2,0,2,-1,60,0,0,0
20180606180820,68,2,49,-1,0,3,-1,0,0,0,-1
20180606180820,73,1,49,-1,0,4,-1,0,0,0,-1
20180606181394,85,4,39,8,0,3,-1,0,0,0,0
20180606181603,85,4,33,10,0,2,-1,60,0,0,0
20180606181889,50,4,42,4,0,2,-1,0,0,0,0
20180606182004,85,4,43,2,0,2,-1,60,0,0,0
20180606182217,85,4,24,25,1,5,5,60,0,0,0
20180606182261,85,4,34,11,0,3,-1,60,0,0,0
20180606182393,65,3,56,-1,0,5,-1,0,0,0,-1
20180606182393,70,4,24,3,1,4,4,0,0,0,0
20180606182423,73,4,33,5,0,5,-1,0,0,0,0
20180606182423,76,4,34,5,0,6,-1,0,0,0,0
20180606182423,64,2,43,-1,0,7,-1,0,0,0,-1
20180705180138,80,4,26,4,1,3,3,0,0,0,0
20180705180536,79,4,20,5,1,2,2,0,0,0,0
20180705180557,80,4,33,40,0,3,-1,0,0,0,0
20180705180693,85,4,34,5,0,5,-1,60,0,0,0
20180705180706,80,4,33,2,0,6,-1,60,0,0,0
20180705180713,80,4,47,2,0,3,-1,60,0,0,0
20180705180797,85,4,33,20,0,6,-1,0,0,0,0
20180705180806,85,4,33,10,0,8,-1,60,0,0,0
20180705181115,80,1,43,-1,0,3,-1,60,0,0,-1
20180705181198,80,4,33,5,0,4,-1,60,0,0,0
20180705181198,85,4,34,5,0,5,-1,60,0,0,0
20180705181218,85,4,47,12,0,3,-1,60,0,0,0
20180705181230,72,3,43,-1,0,5,-1,42,0,0,-1
20180705181292,74,4,34,4,0,4,-1,0,0,0,0
20180705181292,67,4,33,4,0,5,-1,0,0,0,0
20180705181312,85,4,34,10,0,2,-1,60,0,0,0
20180705181581,85,4,44,4,0,2,-1,60,0,0,0
20180705181693,78,1,49,-1,0,3,-1,0,0,0,-1
20180705181747,80,4,44,3,0,5,-1,0,0,0,0
20180705181814,79,4,24,5,1,2,2,0,0,0,0
20180705181942,55,4,49,3,0,3,-1,0,0,0,0
20180705182069,85,4,34,4,0,3,-1,60,0,0,0
20180705182227,67,1,49,-1,0,2,-1,0,0,0,-1
20180705182232,80,4,44,3,0,6,-1,0,0,0,0
20180705182317,78,4,33,3,0,3,-1,0,0,0,0
20180705182323,85,4,33,2,0,3,-1,60,0,0,0
20180705182323,85,4,34,2,0,4,-1,60,0,0,0
20180705182339,67,4,33,3,0,5,-1,0,0,0,0
20180705182339,65,3,42,-1,0,6,-1,0,0,0,-1
20180705182339,70,1,44,-1,0,7,-1,0,0,0,-1
20180705182339,60,1,44,-1,0,8,-1,0,0,0,-1
20180705182339,70,1,44,-1,0,9,-1,0,0,0,-1
20180705182435,85,4,47,2,0,9,-1,60,0,0,0
20180706180015,70,4,43,10,0,2,-1,0,0,0,0
20180706180015,55,4,43,3,0,3,-1,0,0,0,0
20180706180054,75,4,33,10,0,3,-1,0,0,0,0
20180706180067,76,4,24,5,1,2,2,0,0,0,0
20180706180067,73,4,24,5,1,3,3,0,0,0,0
20180706180075,75,4,48,8,0,6,-1,42,0,0,0
20180706180092,73,1,33,-1,0,2,-1,0,0,0,-1
20180706180516,77,3,49,-1,0,3,-1,0,0,0,-1
20180706180530,58,3,43,-1,0,2,-1,0,0,0,-1
20180706180531,73,2,44,-1,0,5,-1,0,0,0,-1
20180706180563,80,1,25,-1,1,2,2,0,0,0,-1
20180706180632,71,4,20,2,1,2,2,0,0,0,0
20180706180640,80,4,43,2,0,3,-1,60,0,0,42
20180706180640,80,4,43,4,0,4,-1,60,0,0,0
20180706180640,54,4,43,1,0,5,-1,0,0,0,0
20180706180650,85,1,47,-1,0,5,-1,60,0,0,-1
20180706180650,66,2,26,-1,1,4,4,0,0,0,-1
20180706180655,80,4,49,5,0,3,-1,0,0,0,0
20180706180661,75,4,33,2,0,3,-1,0,0,0,0
20180706180678,80,4,33,10,0,5,-1,0,0,0,0
20180706180678,74,4,56,3,0,6,-1,0,0,0,0
20180706180678,59,3,56,-1,0,7,-1,0,0,0,-1
20180706180681,77,4,47,2,0,3,-1,0,0,0,0
20180706180688,79,4,33,5,0,2,-1,0,0,0,0
20180706180688,77,4,34,5,0,3,-1,0,0,0,0
20180706180696,64,1,33,-1,0,3,-1,0,0,0,-1
20180706180696,63,1,34,-1,0,4,-1,0,0,0,-1
20180706180729,80,3,33,-1,0,4,-1,60,0,0,-1
20180706180729,80,3,34,-1,0,5,-1,60,0,0,-1
20180706180750,77,1,39,-1,0,3,-1,0,0,0,-1
20180706180787,73,4,38,10,0,3,-1,0,0,0,0
20180706180793,74,1,43,-1,0,3,-1,0,0,0,-1
20180706180798,79,4,34,17,0,3,-1,0,0,0,0
20180706180798,80,3,43,-1,0,4,-1,60,0,0,-1
20180706180839,71,4,47,8,0,4,-1,0,0,0,0
20180706180839,72,4,48,8,0,5,-1,0,0,0,0
20180706180839,42,4,24,5,1,2,2,0,0,0,0
20180706180873,85,3,48,-1,0,7,-1,60,0,0,-1
20180706180885,72,4,33,2,0,5,-1,0,0,0,0
20180706180912,85,4,56,2,0,2,-1,60,0,0,0
20180706180940,74,4,33,2,0,2,-1,0,0,0,0
20180706180946,79,4,43,5,0,4,-1,0,0,0,0
20180706180947,79,4,33,3,0,4,-1,0,0,0,0
20180706180954,85,3,33,-1,0,3,-1,60,0,0,-1
20180706180992,80,4,43,8,0,2,-1,60,0,0,0
20180706180992,58,4,44,7,0,3,-1,0,0,0,0
20180706180992,45,4,49,2,0,4,-1,0,0,0,0
20180706181033,80,1,43,-1,0,5,-1,0,0,0,-1
20180706181051,85,1,33,-1,0,4,-1,60,0,0,-1
20180706181079,75,3,33,-1,0,3,-1,0,0,0,-1
20180706181079,75,1,40,-1,0,4,-1,0,0,0,-1
20180706181087,85,2,43,-1,0,5,-1,0,0,0,-1
20180706181087,85,1,43,-1,0,6,-1,60,0,0,-1
20180706181087,78,1,43,-1,0,7,-1,0,0,0,-1
20180706181088,77,4,47,5,0,4,-1,0,0,0,0
20180706181095,65,3,33,-1,0,5,-1,0,0,0,-1
20180706181095,67,4,34,15,0,6,-1,0,0,0,0
20180706181095,80,4,44,8,0,7,-1,0,0,0,0
20180706181095,75,4,44,8,0,8,-1,0,0,0,0
20180706181141,80,4,33,3,0,2,-1,60,0,0,0
20180706181186,85,3,34,-1,0,4,-1,60,0,0,-1
20180706181238,80,4,33,10,0,3,-1,60,0,0,0
20180706181238,85,4,39,8,0,4,-1,60,0,0,0
20180706181250,72,1,34,-1,0,6,-1,0,0,0,-1
20180706181250,64,1,39,-1,0,7,-1,0,0,0,-1
20180706181257,67,4,20,2,1,2,2,0,0,0,0
20180706181263,80,1,43,-1,0,2,-1,60,0,0,-1
20180706181263,80,1,43,-1,0,3,-1,60,0,0,-1
20180706181273,80,4,43,3,0,2,-1,60,0,0,0
20180706181330,76,4,24,2,1,4,4,0,0,0,0
20180706181334,63,4,26,4,1,2,2,0,0,0,0
20180706181393,75,2,39,-1,0,4,-1,0,0,0,-1
20180706181393,76,2,40,-1,0,5,-1,0,0,0,-1
20180706181412,76,4,20,2,1,2,2,0,0,0,0
20180706181413,76,3,20,-1,1,2,2,0,0,0,-1
20180706181420,70,4,43,5,0,4,-1,0,0,0,0
20180706181420,85,2,43,-1,0,5,-1,60,0,0,-1
20180706181420,85,4,24,28,1,3,3,60,0,0,0
20180706181456,85,1,34,-1,0,3,-1,60,0,0,-1
20180706181456,85,1,33,-1,0,4,-1,60,0,0,-1
20180706181475,80,1,34,-1,0,4,-1,60,0,0,-1
20180706181479,73,3,47,-1,0,5,-1,0,0,0,-1
20180706181479,74,3,48,-1,0,6,-1,0,0,0,-1
20180706181516,69,4,56,31,0,2,-1,0,0,0,0
20180706181517,79,1,20,-1,1,2,2,0,0,0,-1
20180706181525,72,1,43,-1,0,2,-1,0,0,0,-1
20180706181525,85,4,43,2,0,3,-1,60,0,0,0
20180706181554,80,4,43,2,0,4,-1,60,0,0,0
20180706181554,74,2,40,-1,0,5,-1,0,0,0,-1
20180706181590,85,4,33,10,0,2,-1,60,0,0,0
20180706181591,85,4,33,3,0,2,-1,60,0,0,0
20180706181655,85,4,34,1,0,3,-1,60,0,0,0
20180706181693,85,2,34,-1,0,8,-1,60,0,0,-1
20180706181699,85,4,24,10,1,5,5,0,0,0,0
20180706181720,80,4,47,5,0,2,-1,60,0,0,0
20180706181720,80,4,41,3,0,3,-1,60,0,0,0
20180706181725,85,4,34,6,0,3,-1,60,0,0,0
20180706181727,85,4,24,8,1,2,2,0,0,0,0
20180706181736,80,4,47,5,0,4,-1,60,0,0,0
20180706181787,85,4,34,5,0,3,-1,60,0,0,0
20180706181792,80,3,47,-1,0,4,-1,60,0,0,-1
20180706181841,85,4,43,5,0,2,-1,60,0,0,0
20180706181841,85,4,43,5,0,3,-1,60,0,0,0
20180706181854,74,4,43,2,0,2,-1,0,0,0,42
20180706181870,80,4,44,4,0,3,-1,60,0,0,0
20180706181870,72,4,44,4,0,4,-1,0,0,0,0
20180706181870,75,4,44,4,0,5,-1,0,0,0,0
20180706181870,76,4,44,4,0,6,-1,0,0,0,0
20180706181870,69,4,44,4,0,7,-1,0,0,0,0
20180706181879,70,1,33,-1,0,3,-1,0,0,0,-1
20180706181896,85,4,33,5,0,2,-1,60,0,0,0
20180706181936,63,4,33,10,0,6,-1,0,0,0,0
20180706181939,70,4,42,6,0,4,-1,0,0,0,0
20180706181939,63,4,39,10,0,5,-1,0,0,0,0
20180706181943,80,4,33,10,0,6,-1,60,0,0,0
20180706181976,75,2,33,-1,0,2,-1,0,0,0,-1
20180706181976,76,2,34,-1,0,3,-1,0,0,0,-1
20180706181994,85,4,20,2,1,2,2,0,0,0,42
20180706182099,80,4,33,2,0,3,-1,60,0,0,0
20180706182124,69,2,38,-1,0,3,-1,0,0,0,-1
20180706182171,85,4,33,3,0,3,-1,60,0,0,0
20180706182171,85,4,40,4,0,4,-1,60,0,0,0
20180706182192,79,2,26,-1,1,6,6,0,0,0,-1
20180706182202,79,4,33,5,0,2,-1,0,0,0,0
20180706182202,79,4,41,12,0,3,-1,0,0,0,0
20180706182206,80,3,40,-1,0,3,-1,0,0,0,-1
20180706182256,85,4,43,20,0,2,-1,60,0,0,0
20180706182264,80,4,37,10,0,3,-1,60,0,0,0
20180706182264,77,4,49,5,0,4,-1,0,0,0,0
20180706182280,85,1,56,-1,0,3,-1,0,0,0,-1
20180706182363,74,2,43,-1,0,3,-1,0,0,0,-1
20180706182409,78,2,33,-1,0,4,-1,0,0,0,-1
20180706182409,68,1,44,-1,0,5,-1,42,0,0,-1
20180706182415,85,1,56,-1,0,2,-1,60,0,0,-1
20180706182415,85,2,56,-1,0,3,-1,60,0,0,-1
20180706182440,63,1,56,-1,0,2,-1,0,0,0,-1
20180706182440,85,1,38,-1,0,3,-1,60,0,0,-1
20180706182440,65,1,56,-1,0,4,-1,0,0,0,-1
20180706182470,85,4,39,3,0,4,-1,0,0,0,0
20180706182470,70,4,43,3,0,5,-1,0,0,0,0
20180706182526,61,4,37,10,0,3,-1,0,0,0,0
20180707180040,85,3,44,-1,0,2,-1,60,0,0,-1
20180707180609,85,4,43,4,0,2,-1,60,0,0,0
20180707180609,85,4,43,6,0,3,-1,60,0,0,0
20180707180609,79,4,43,2,0,4,-1,0,0,0,0
20180707180873,85,4,39,2,0,4,-1,60,0,0,0
20180707180883,85,4,47,15,0,5,-1,0,0,0,0
20180707180948,60,2,56,-1,0,2,-1,0,0,0,-1
20180707180948,66,1,56,-1,0,3,-1,0,0,0,-1
20180707181057,80,3,38,-1,0,2,-1,60,0,0,-1
20180707181096,85,4,43,20,0,2,-1,60,0,0,0
20180707181136,85,4,33,15,0,3,-1,60,0,0,0
20180707181147,80,4,33,5,0,2,-1,60,0,0,0
20180707181247,80,4,33,2,0,3,-1,60,0,0,0
20180707181254,85,4,33,6,0,2,-1,60,0,0,0
20180707181259,80,4,37,2,0,3,-1,0,0,0,0
20180707181383,85,2,33,-1,0,5,-1,60,0,0,-1
20180707181448,63,4,44,2,0,2,-1,0,0,0,0
20180707181492,80,2,33,-1,0,2,-1,60,0,0,-1
20180707181535,85,4,33,5,0,3,-1,60,0,0,0
20180707181653,85,4,33,2,0,3,-1,60,0,0,0
20180707181673,71,4,33,5,0,6,-1,0,0,0,0
20180707181689,80,2,34,-1,0,3,-1,0,0,0,-1
20180707181702,74,2,44,-1,0,3,-1,0,0,0,-1
20180707181825,77,4,20,1,1,2,2,0,0,0,0
20180707181877,85,4,49,4,0,5,-1,60,0,0,0
20180707181926,85,1,44,-1,0,2,-1,60,0,0,-1
20180707182009,85,4,39,5,0,3,-1,60,0,0,0
20180707182125,69,4,33,3,0,5,-1,0,0,0,0
20180707182125,76,4,34,5,0,6,-1,0,0,0,0
20180707182180,59,2,35,-1,0,2,-1,0,0,0,-1
20180707182195,85,4,47,3,0,6,-1,60,0,0,0
20180707182197,85,4,39,5,0,3,-1,60,0,0,0
20180707182259,79,1,43,-1,0,2,-1,0,0,0,-1
20180707182453,80,4,42,3,0,2,-1,60,0,0,0
20180707182488,80,4,39,1,0,5,-1,60,0,0,0
20180806180114,85,1,38,-1,0,2,-1,60,0,0,-1
20180806180651,85,4,20,1,1,2,2,0,0,0,0
20180806180722,73,2,24,-1,1,4,4,0,0,0,-1
20180806180730,76,4,40,2,0,4,-1,0,0,0,0
20180806180730,72,4,39,2,0,5,-1,0,0,0,0
20180806180730,61,4,37,6,0,6,-1,0,0,0,0
20180806180902,77,3,48,-1,0,8,-1,42,0,0,-1
20180806180902,85,4,49,11,0,9,-1,60,0,0,0
20180806180933,85,4,47,5,0,4,-1,60,0,0,0
20180806181008,79,4,33,5,0,3,-1,0,0,0,0
20180806181198,85,4,34,4,0,2,-1,60,0,0,0
20180806181213,66,4,34,10,0,5,-1,0,0,0,0
20180806181253,85,4,34,10,0,3,-1,60,0,0,0
20180806181268,85,4,33,4,0,3,-1,60,0,0,0
20180806181494,78,4,56,2,0,3,-1,0,0,0,0
20180806181631,85,4,43,10,0,4,-1,60,0,0,0
20180806181631,80,4,33,2,0,5,-1,0,0,0,0
20180806181631,48,4,56,20,0,6,-1,0,0,0,0
20180806181631,61,4,20,5,1,2,2,0,0,0,0
20180806181865,62,4,25,6,1,3,3,0,0,0,0
20180806181942,74,4,33,25,0,5,-1,0,0,0,0
20180806182162,80,4,33,2,0,2,-1,60,0,0,0
20180806182262,71,1,47,-1,0,6,-1,0,0,0,-1
20180806182262,75,1,48,-1,0,7,-1,0,0,0,-1
20180806182439,85,4,24,2,1,2,2,0,0,0,0
20180807180024,79,1,33,-1,0,3,-1,0,0,0,-1
20180807180179,65,3,20,-1,1,2,2,0,0,0,-1
20180807180563,85,4,35,11,0,2,-1,60,0,0,0
20180807180603,68,4,34,3,0,3,-1,0,0,0,0
20180807180626,77,4,20,3,1,2,2,0,0,0,0
20180807180642,69,4,34,6,0,6,-1,0,0,0,0
20180807180649,80,4,33,3,0,3,-1,60,0,0,0
20180807180674,80,4,48,3,0,6,-1,60,0,0,0
20180807180715,64,2,44,-1,0,2,-1,0,0,0,-1
20180807180719,85,4,33,10,0,3,-1,60,0,0,0
20180807180732,75,1,33,-1,0,2,-1,0,0,0,-1
20180807180748,72,1,44,-1,0,2,-1,42,0,0,-1
20180807180748,67,1,44,-1,0,3,-1,42,0,0,-1
20180807180748,77,1,44,-1,0,4,-1,42,0,0,-1
20180807180758,80,4,20,2,1,2,2,0,0,0,0
20180807180837,62,4,39,15,0,4,-1,0,0,0,0
20180807180837,62,4,44,4,0,5,-1,0,0,0,0
20180807180850,85,4,34,5,0,3,-1,60,0,0,0
20180807180872,85,4,56,4,0,2,-1,0,0,0,0
20180807180882,68,1,33,-1,0,3,-1,0,0,0,-1
20180807180893,64,4,33,2,0,4,-1,0,0,0,0
20180807180893,69,4,34,2,0,5,-1,0,0,0,0
20180807180928,80,4,33,10,0,2,-1,60,0,0,0
20180807180935,85,4,33,5,0,3,-1,60,0,0,0
20180807180935,62,4,37,9,0,4,-1,0,0,0,0
20180807180935,85,4,24,9,1,2,2,0,0,0,0
20180807180937,64,3,47,-1,0,7,-1,0,0,0,-1
20180807180958,80,1,39,-1,0,3,-1,60,0,0,-1
20180807181060,78,3,56,-1,0,2,-1,0,0,0,-1
20180807181111,75,3,44,-1,0,2,-1,0,0,0,-1
20180807181132,85,4,33,3,0,3,-1,60,0,0,0
20180807181132,62,4,37,3,0,4,-1,0,0,0,0
20180807181132,56,4,38,3,0,5,-1,0,0,0,0
20180807181137,62,4,20,23,1,2,2,0,0,0,0
20180807181152,85,3,39,-1,0,3,-1,60,0,0,-1
20180807181181,80,4,39,2,0,3,-1,60,0,0,0
20180807181181,80,4,40,2,0,4,-1,60,0,0,0
20180807181188,64,1,47,-1,0,4,-1,43,0,0,-1
20180807181209,80,4,56,1,0,2,-1,0,0,0,0
20180807181209,80,4,56,1,0,3,-1,60,0,0,0
20180807181209,80,4,56,1,0,4,-1,60,0,0,0
20180807181209,80,4,56,1,0,5,-1,60,0,0,0
20180807181209,80,4,56,1,0,6,-1,0,0,0,0
20180807181219,85,4,47,15,0,5,-1,60,0,0,0
20180807181225,75,4,20,3,1,2,2,0,0,0,0
20180807181301,69,2,43,-1,0,2,-1,0,0,0,-1
20180807181307,68,1,49,-1,0,5,-1,0,0,0,-1
20180807181329,70,4,43,2,0,9,-1,42,0,0,0
20180807181329,75,2,39,-1,0,10,-1,42,0,0,-1
20180807181336,65,1,33,-1,0,5,-1,0,0,0,-1
20180807181336,69,1,34,-1,0,6,-1,0,0,0,-1
20180807181341,71,4,33,20,0,3,-1,0,0,0,0
20180807181364,85,4,24,5,1,3,3,60,0,0,0
20180807181364,80,4,24,5,1,4,4,60,0,0,0
20180807181415,85,4,39,2,0,3,-1,60,0,0,0
20180807181438,53,4,43,2,0,4,-1,0,0,0,0
20180807181438,79,3,43,-1,0,5,-1,0,0,0,-1
20180807181457,62,3,33,-1,0,3,-1,0,0,0,-1
20180807181457,65,3,34,-1,0,4,-1,0,0,0,-1
20180807181493,72,2,40,-1,0,5,-1,0,0,0,-1
20180807181504,85,4,47,30,0,2,-1,60,0,0,0
20180807181504,85,4,48,30,0,3,-1,60,0,0,0
20180807181509,80,4,44,2,0,2,-1,60,0,0,0
20180807181519,64,3,33,-1,0,3,-1,0,0,0,-1
20180807181607,85,4,47,3,0,3,-1,60,0,0,0
20180807181650,56,4,33,6,0,2,-1,0,0,0,0
20180807181670,71,4,33,2,0,4,-1,0,0,0,0
20180807181670,74,4,34,3,0,5,-1,0,0,0,0
20180807181681,85,2,44,-1,0,2,-1,60,0,0,-1
20180807181681,80,4,43,1,0,3,-1,0,0,0,0
20180807181713,85,4,44,11,0,3,-1,60,0,0,0
20180807181739,61,4,41,10,0,4,-1,0,0,0,0
20180807181760,85,4,43,7,0,7,-1,60,0,0,0
20180807181760,85,4,43,7,0,8,-1,61,0,0,0
20180807181799,85,4,34,5,0,2,-1,60,0,0,0
20180807181809,73,1,44,-1,0,3,-1,42,0,0,-1
20180807181809,75,1,44,-1,0,4,-1,42,0,0,-1
